,mcap_cr
CHEMFAB,488.35
CHEMCON,508.76
CHEVIOT,555.39
CHEMBONDCH,321.47
CHENNPETRO,14973.21
CHALET,15618.95
CHOLAHLDNG,25400.44
CIFL,924.46
CHEMBOND,164.02
CIEINDIA,16932.17
CHEMPLASTS,4108.85
CHOLAFIN,117657.81
ARCHIES,42.73
CHOICEIN,13022.25
CLEDUCATE,243.94
CINEVISTA,84.6
CIGNITITEC,2956.89
CIPLA,98694.65
CINELINE,286.16
CMICABLES,5.79
CLEAN,7195.99
CLCIND,16.64
COALINDIA,280558.21
COHANCE,11505.21
COMPINFO,8.73
COFORGE,36963.4
CNL,858.05
COASTCORP,290.26
COFFEEDAY,471.94
CONSOFINVT,678.76
COCHINSHIP,33399.49
CLSEL,1104.13
CMSINFO,4464.61
COROMANDEL,54419.74
CONTROLPR,970.24
CONFIPET,1132.16
CONCORDBIO,10802.67
COMSYN,612.39
COSMOFIRST,1525.14
CPPLUS,19344.8
CORALFINAC,115.55
CORONA,
CPCAP,151.58
CPEDU,285.61
CONCOR,32273.56
CORDSCABLE,179.8
COMPUSOFT,97.88
CREDITACC,18171.05
COUNCODOS,30.57
CRAFTSMAN,15617.06
CRISIL,29271.98
CRAMC,4548.71
CROMPTON,15241.9
CREATIVEYE,12.86
CSBBANK,5829.41
CRIZAC,3250.65
COLPAL,50295.58
CROWN,126.23
CSLFINANCE,544.98
CREST,899.59
CUB,17409.6
CUPID,10782.49
CTE,41.37
CUBEXTUB,117.47
CURAA,122.23
CYBERTECH,314.26
CUMMINSIND,125238.96
CYBERMEDIA,27.0
CYIENTDLM,2231.92
CYIENT,8738.21
DAVANGERE,541.97
DAMCAPITAL,868.31
DALBHARAT,32779.32
DABUR,74024.96
DBEIL,310.04
DATAPATTNS,17201.63
DALMIASUG,2467.03
DBCORP,3567.59
DATAMATICS,3958.35
DAMODARIND,52.28
DANGEE,40.03
DCI,466.17
DBOL,630.07
DCMNVL,214.6
DBSTOCKBRO,87.18
DCMFINSERV,14.11
DBREALTY,4937.53
DCMSRIND,902.15
DECCANCE,848.59
DCAL,2241.35
DBL,6338.6
DCM,109.3
DCXINDIA,1951.78
DCBBANK,5284.57
DDEVPLSTIK,2229.92
DEEPAKFERT,11020.32
DCMSHRIRAM,15917.5
DEEDEV,1730.2
DCW,1308.01
DEEPAKNTR,17969.78
DEN,1199.07
DEEPINDS,2531.52
DELTAMAGNT,57.87
DELPHIFX,3293.93
DELHIVERY,30897.18
DELTACORP,1352.36
DEVX,327.83
DENORA,360.59
DENTA,604.22
DEVIT,142.3
DGCONTENT,131.71
DHANBANK,832.01
DHAMPURSUG,784.48
DHANUKA,4200.4
DEVYANI,12472.42
DHRUV,55.63
DHARAN,71.55
DHARMAJ,777.37
DIAMONDYD,2105.32
DIACABS,6215.1
DHUNINV,455.0
DICIND,451.65
DIGITIDE,1088.08
DIAMINESQ,210.81
DIGISPICE,352.41
DIFFNKG,964.91
DIGIDRIVE,76.43
DISHTV,387.64
DLINKINDIA,1356.91
DIVGIITTS,2014.04
DIGJAMLMTD,79.31
DIXON,60067.03
DNAMEDIA,35.19
DODLA,5943.5
DIL,18.39
DMART,237881.99
DJML,278.46
DOLATALGO,1228.73
DLF,127463.01
DOLLAR,1385.19
DOMS,13410.08
DMCC,500.14
DIVISLAB,159639.53
DPWIRES,216.84
DOLPHIN,1499.37
DRCSYSTEMS,185.43
DONEAR,430.56
DRREDDY,104348.65
DUCON,93.11
DPSCLTD,732.29
DPABHUSHAN,2186.23
DREAMFOLKS,346.63
DREDGECORP,2311.4
DTIL,129.39
DVL,712.77
DSSL,1109.33
DYCL,1227.22
DYNAMATECH,6399.42
DWARKESH,702.11
DYNPRO,285.14
EFCIL,2518.19
EBGNG,4265.74
ECOSMOBLTY,640.5
EASEMYTRIP,2353.04
EASTSILK,31.69
EIFFL,567.28
EICHERMOT,183283.04
EDELWEISS,9676.15
ECLERX,13081.1
EIDPARRY,13631.6
E2E,4319.33
EIEL,2490.42
EIMCOELECO,862.49
EDUCOMP,11.88
EKC,1126.21
ELGIEQUIP,15033.25
ELECTCAST,4358.2
EIHAHOTELS,1716.88
ELECTHERM,758.25
EIHOTEL,18248.13
ELGIRUBCO,185.13
ELDEHSG,769.31
ELLEN,2612.81
ELIN,545.71
EMCURE,27900.0
EMMVEE,15104.2
EMIL,3292.68
EMAMILTD,17535.86
EMAMIREAL,236.18
EMAMIPAP,391.92
EMBDL,6312.14
ELECON,8505.88
EMMBI,137.88
ENTERO,5052.93
EMKAY,548.61
EMSLIMITED,1555.84
ENERGYDEV,69.8
EQUITASBNK,6221.76
EMUDHRA,3142.04
ENIL,500.59
EPACK,2142.05
EPIGRAL,3531.12
ENDURANCE,31080.86
ENGINERSIN,10197.37
ENRIN,96013.65
EPACKPEB,1421.4
ESABINDIA,7932.79
ERIS,17608.8
EPL,5877.51
ETERNAL,206809.27
EUROPRATIK,2154.89
ESSARSHPNG,458.59
ESCORTS,31594.78
EQUIPPP,181.45
EUROTEXIND,15.72
ETHOSLTD,5759.59
ESAFSFB,1172.02
EVEREADY,2049.2
EUREKAFORB,8428.5
ESSENTIA,126.83
ESTER,866.18
EUROBOND,340.7
EXCELINDUS,1059.67
EXXARO,297.98
EXCEL,142.09
EXICOM,1157.67
EXIDEIND,24720.57
EVERESTIND,473.61
FAIRCHEMOR,604.38
FCONSUMER,63.91
FABTECH,595.2
FCL,2427.36
EXCELSOFT,827.22
FACT,49206.59
FAZE3Q,959.91
FCSSOFT,232.5
EXPLEOSOL,1088.24
FEDFINA,4644.97
FELDVR,122.09
FEL,35.17
FEDERALBNK,62658.01
FIBERWEB,97.46
FINKURVE,799.05
FDC,5340.98
FILATFASH,137.79
FINCABLES,12366.68
FINPIPE,10398.18
FIEMIND,5118.38
FINEORG,12290.05
FISCHER,2196.94
FIVESTAR,10233.01
FLAIR,3102.84
FIRSTCRY,10720.63
FOODSIN,373.43
FILATEX,1702.52
FLFL,25.97
FORCEMOT,26872.99
FINOPB,1170.25
FUSION,2446.61
FOCUS,435.78
FORTIS,60336.26
FLEXITUFF,21.59
GABRIEL,11936.81
FMGOETZE,2007.76
FLUOROCHEM,35681.48
FMNL,43.97
GAEL,5870.07
GALAPREC,948.36
FSL,14320.17
FOSECOIND,3820.65
GANECOS,2049.02
GANGAFORGE,36.67
GALLANTT,12840.97
GANDHAR,1246.61
GANDHITUBE,950.77
GANESHCP,653.15
GANESHBE,558.64
GALAXYSURF,5732.73
GANGESSECU,108.82
GARFIBRES,5960.91
GARUDA,1398.23
GANESHHOU,4637.99
GAIL,89026.57
GATECHDVR,53.3
GCSL,785.16
GATECH,58.45
GAYAPROJ,265.23
GEECEE,511.29
GEMAROMA,848.33
GAYAHWS,47.93
GATEWAY,2422.68
GENSOL,79.0
GENCON,247.31
GENESYS,1033.06
GESHIP,19416.33
GEEKAYWIRE,210.19
GEOJITFSL,1600.49
GICHSGFIN,737.9
GENUSPAPER,263.55
