Date,close,ema20,ema50,regime
2022-07-15,16049.2001953125,15960.290817211095,16132.263595157912,CAUTION
2022-07-18,16278.5,15990.596453667182,16137.998356132113,CAUTION
2022-07-19,16340.5498046875,16023.925344240544,16145.941550193109,CAUTION
2022-07-20,16520.849609375,16071.25146472954,16160.643827023772,CAUTION
2022-07-21,16605.25,16122.108468088632,16178.07936321892,CAUTION
2022-07-22,16719.44921875,16178.998063389714,16199.309553631903,CAUTION
2022-07-25,16631.0,16222.045866876408,16216.238590744379,BULLISH
2022-07-26,16483.849609375,16246.979556638178,16226.7331404946,BULLISH
2022-07-27,16641.80078125,16284.58157802978,16243.010302877165,BULLISH
2022-07-28,16929.599609375,16346.011866729325,16269.935373720216,BULLISH
2022-07-29,17158.25,16423.36787942177,16304.771241417464,BULLISH
2022-08-01,17340.05078125,16510.67101292922,16345.370439057955,BULLISH
2022-08-02,17345.44921875,16590.173699197865,16384.589214732154,BULLISH
2022-08-03,17388.150390625,16666.17147933378,16423.944554963247,BULLISH
2022-08-04,17382.0,16734.345624159138,16461.515356729393,BULLISH
2022-08-05,17397.5,16797.50318376303,16498.22063685765,BULLISH
2022-08-08,17525.099609375,16866.79808144036,16538.49040048578,BULLISH
2022-08-10,17534.75,16930.41254987461,16577.5594043883,BULLISH
2022-08-11,17659.0,16999.801830838933,16619.96883951033,BULLISH
2022-08-12,17698.150390625,17066.311217485225,16662.25046896581,BULLISH
2022-08-16,17825.25,17138.591101534254,16707.85829371225,BULLISH
2022-08-17,17944.25,17215.32052043575,16756.344242978437,BULLISH
2022-08-18,17956.5,17285.909042299012,16803.40917462634,BULLISH
2022-08-19,17758.44921875,17330.912868627678,16840.86172537629,BULLISH
2022-08-22,17490.69921875,17346.130616258375,16866.345548645848,BULLISH
2022-08-23,17577.5,17368.16579566234,16894.233958502875,BULLISH
2022-08-24,17604.94921875,17390.716597861163,16922.105145179234,BULLISH
2022-08-25,17522.44921875,17403.26256175534,16945.648050025145,BULLISH
2022-08-26,17558.900390625,17418.08521212388,16969.69716142122,BULLISH
2022-08-29,17312.900390625,17408.067610076367,16983.156111586075,CAUTION
2022-08-30,17759.30078125,17441.51838828338,17013.59315745525,BULLISH
2022-09-01,17542.80078125,17451.164330470678,17034.346397604066,BULLISH
2022-09-02,17539.44921875,17459.57241506871,17054.154351374495,BULLISH
2022-09-05,17665.80078125,17479.21321184788,17078.140485879416,BULLISH
2022-09-06,17655.599609375,17496.01191637427,17100.785941702772,BULLISH
2022-09-07,17624.400390625,17508.239390112438,17121.31984166051,BULLISH
2022-09-08,17798.75,17535.907067244585,17147.88573022284,BULLISH
2022-09-09,17833.349609375,17564.234928399863,17174.76666666018,BULLISH
2022-09-12,17936.349609375,17599.674421826065,17204.6326644137,BULLISH
2022-09-13,18070.05078125,17644.47217034263,17238.57062977983,BULLISH
2022-09-14,18003.75,17678.689106500475,17268.577663906115,BULLISH
2022-09-15,17877.400390625,17697.613990702812,17292.453064953916,BULLISH
2022-09-16,17530.849609375,17681.731668671593,17301.801949048862,CAUTION
2022-09-19,17622.25,17676.06674784573,17314.36853928224,CAUTION
2022-09-20,17816.25,17689.417533765183,17334.05016519274,BULLISH
2022-09-21,17718.349609375,17692.172969537547,17349.12073163126,BULLISH
2022-09-22,17629.80078125,17686.23276112921,17360.127792400624,CAUTION
2022-09-23,17327.349609375,17652.053413343096,17358.842373458443,CAUTION
2022-09-26,17016.30078125,17591.505543619944,17345.409369842426,CAUTION
2022-09-27,17007.400390625,17535.87648142995,17332.154115755468,CAUTION
