,mcap_cr
CEATLTD,13588.23
CEMPRO,9265.36
CENTRALBK,30148.23
CELEBRITY,43.05
CENTEXT,148.46
CENTUM,4191.18
CEIGALL,4812.99
CELLO,8938.38
CENTENKA,871.9
CASTROLIND,17598.47
CEWATER,586.12
CENTRUM,1239.16
CGPOWER,107102.52
CGCL,16003.51
CHEMCON,513.01
CCL,14583.63
CHALET,15953.72
CENTURYPLY,16054.22
CHEMFAB,481.38
CEREBRAINT,50.45
CHEVIOT,566.33
CHOICEIN,14146.19
CHOLAHLDNG,26265.36
CESC,20314.37
CIEINDIA,17329.21
CDSL,24793.67
CIFL,872.06
CHEMBONDCH,378.27
CIPLA,96320.0
CERA,6030.35
CHENNPETRO,15386.09
CHEMPLASTS,4065.55
CINEVISTA,81.79
CHEMBOND,191.6
CHAMBLFERT,18129.83
CIGNITITEC,3302.88
COFFEEDAY,465.18
CHOLAFIN,115561.81
CINELINE,280.7
CLCIND,14.41
CNL,894.69
CLEAN,7551.61
CLEDUCATE,260.6
CLSEL,1209.91
COHANCE,11765.6
COCHINSHIP,34591.57
CMSINFO,4631.25
CORONA,
COASTCORP,307.09
CORDSCABLE,193.88
COFORGE,40747.3
CONCORDBIO,10724.21
COMPINFO,8.56
CONFIPET,1742.99
COUNCODOS,32.2
COALINDIA,276922.2
CONTROLPR,920.17
COMSYN,611.87
CPEDU,283.74
COLPAL,49759.77
CONCOR,33454.07
COSMOFIRST,1594.29
CPCAP,154.67
CREDITACC,18859.53
COROMANDEL,55356.95
CPPLUS,21198.94
CTE,47.53
COMPUSOFT,107.29
CREATIVEYE,12.79
CRIZAC,3385.74
CROWN,131.67
CUB,17869.54
CONSOFINVT,676.56
CUPID,11778.24
CSBBANK,6252.66
CRAMC,4616.71
CURAA,109.85
CRAFTSMAN,16195.56
CUBEXTUB,120.79
CYBERMEDIA,27.7
DAVANGERE,534.82
CYIENT,8886.72
CSLFINANCE,549.75
DALMIASUG,2995.56
CREST,933.09
CROMPTON,15157.59
CRISIL,27123.83
DALBHARAT,33684.18
CYIENTDLM,2231.52
DAMCAPITAL,965.99
CUMMINSIND,128800.98
CYBERTECH,336.71
DATAPATTNS,17104.78
DABUR,74007.22
DBL,6600.95
DAMODARIND,49.87
DBREALTY,4909.87
